,sequence
3UPV_2QBW,7.47
3UPV_2WA8,30.24
3UPV_2XRW,30.97
3UPV_3ASL,-10.15
3UPV_3CH8,2.43
3UPV_3D9T,31.2
3UPV_3DIW,12.31
3UPV_3DRF,42.22
3UPV_3DRG,57.9
3UPV_3EMH,-57.41
3UPV_3IQG,54.54
3UPV_3IVV,-18.9
3UPV_3L3X,68.54
3UPV_3OBQ,25.04
3UPV_3R42,48.7
3UPV_3RYB,61.46
3UPV_3SO6,11.24
3UPV_3SOU,-13.36
3UPV_3UPV,0.0
3UPV_3UVK,-72.23
3UPV_3UVM,-91.7
3UPV_4AIF,345.33
3UPV_4APO,345.88
3UPV_4CC2,-27.67
3UPV_4CY1,-48.89
3UPV_4E3B,11.09
3UPV_4EQJ,-51.21
3UPV_4ERY,-44.13
3UPV_4EWR,-63.51
3UPV_4F14,-29.4
3UPV_4GNE,-23.79
3UPV_4GQ6,218.84
3UPV_4H39,69.49
3UPV_4IKN,-65.12
3UPV_4J73,-69.97
3UPV_4J78,-84.53
3UPV_4J81,-70.05
3UPV_4JOE,7.83
3UPV_4K75,6.78
3UPV_4LN2,-28.93
3UPV_4LNP,-22.0
3UPV_4MDR,-18.97
3UPV_4NXQ,9.74
3UPV_4O36,16.01
3UPV_4WYU,-12.68
3UPV_4X3H,57.14
3UPV_4XHV,-4.84
3UPV_4Y7R,-59.24
3UPV_4YSI,-39.83
3UPV_4ZHL,24.17
3UPV_5A2J,-45.33
3UPV_5CFA,-103.56
3UPV_5E1D,53.78
3UPV_5E2Q,87.88
3UPV_5GP7,45.31
3UPV_5GU4,25.02
3UPV_5HEB,8.43
3UPV_5HEY,-21.92
3UPV_5WOU,7.41
3UPV_5XHZ,-24.31
3UPV_5YGF,32.14
3UPV_6CDG,-42.89
3UPV_6EVN,239.76
3UPV_6IM4,222.5
3UVK_1CKA,64.1
3UVK_1D4T,70.02
3UVK_1ELW,-70.32
3UVK_1FCH,-174.48
3UVK_1GWR,-92.64
3UVK_1JD5,33.04
3UVK_1LB6,77.9
3UVK_1MF4,6.65
3UVK_1MFG,37.45
3UVK_1OAI,32.36
3UVK_1T7R,-83.28
3UVK_1X2R,460.73
3UVK_1YWO,42.64
3UVK_2HO2,64.34
3UVK_2O9V,56.76
3UVK_2OEI,69.63
3UVK_2PEH,21.89
3UVK_2PV1,2.25
3UVK_2QBW,43.39
3UVK_2WA8,37.33
3UVK_2XRW,120.09
3UVK_3ASL,8.72
3UVK_3CH8,56.6
3UVK_3D9T,-7.83
3UVK_3DIW,19.59
3UVK_3DRF,55.94
3UVK_3DRG,64.71
3UVK_3EMH,3056.43
3UVK_3IQG,16.0
3UVK_3IVV,75.91
3UVK_3L3X,-52.03
3UVK_3OBQ,17.67
3UVK_3R42,28.14
3UVK_3RYB,29.02
3UVK_3SO6,111.02
3UVK_3SOU,29.54
3UVK_3UPV,-72.23
3UVK_3UVK,0.0
3UVK_3UVM,3133.2
3UVK_4AIF,-67.88
3UVK_4APO,-89.67
3UVK_4CC2,69.78
3UVK_4CY1,3117.19
3UVK_4E3B,22.86
3UVK_4EQJ,50.24
3UVK_4ERY,3125.97
3UVK_4EWR,3106.66
3UVK_4F14,59.07
3UVK_4GNE,23.65
3UVK_4GQ6,18.3
3UVK_4H39,111.47
3UVK_4IKN,44.21
3UVK_4J73,1350.98
3UVK_4J78,1388.83
3UVK_4J81,1410.73
3UVK_4JOE,28.77
3UVK_4K75,30.77
3UVK_4LN2,50.65
3UVK_4LNP,66.86
3UVK_4MDR,83.74
3UVK_4NXQ,32.71
3UVK_4O36,-5.27
3UVK_4WYU,1.08
3UVK_4X3H,15.57
3UVK_4XHV,25.25
3UVK_4Y7R,3127.03
3UVK_4YSI,62.05
3UVK_4ZHL,90.9
3UVK_5A2J,77.9
3UVK_5CFA,51.66
3UVK_5E1D,45.78
3UVK_5E2Q,28.51
3UVK_5GP7,38.02
3UVK_5GU4,62.85
3UVK_5HEB,30.32
3UVK_5HEY,28.63
3UVK_5WOU,22.74
3UVK_5XHZ,48.15
3UVK_5YGF,54.33
3UVK_6CDG,22.01
3UVK_6EVN,-48.53
3UVK_6IM4,-156.16
3UVM_1CKA,62.95
3UVM_1D4T,64.17
3UVM_1ELW,-47.96
3UVM_1FCH,-175.24
3UVM_1GWR,-24.94
3UVM_1JD5,16.38
3UVM_1LB6,78.47
3UVM_1MF4,25.27
3UVM_1MFG,49.55
3UVM_1OAI,8.84
3UVM_1T7R,-61.69
3UVM_1X2R,471.83
3UVM_1YWO,51.59
3UVM_2HO2,62.15
3UVM_2O9V,58.93
3UVM_2OEI,69.8
3UVM_2PEH,21.04
3UVM_2PV1,1.92
3UVM_2QBW,17.97
3UVM_2WA8,29.52
3UVM_2XRW,60.35
3UVM_3ASL,25.44
3UVM_3CH8,41.9
3UVM_3D9T,-25.08
3UVM_3DIW,30.37
3UVM_3DRF,40.99
3UVM_3DRG,90.66
3UVM_3EMH,3195.09
3UVM_3IQG,19.07
3UVM_3IVV,76.0
3UVM_3L3X,-27.34
3UVM_3OBQ,23.85
3UVM_3R42,35.68
3UVM_3RYB,24.55
3UVM_3SO6,115.03
3UVM_3SOU,16.39
3UVM_3UPV,-61.6
3UVM_3UVK,3133.2
3UVM_3UVM,0.0
3UVM_4AIF,-65.62
3UVM_4APO,-73.86
3UVM_4CC2,64.67
3UVM_4CY1,3171.24
3UVM_4E3B,-14.66
3UVM_4EQJ,44.07
3UVM_4ERY,3206.56
3UVM_4EWR,3212.53
3UVM_4F14,48.19
3UVM_4GNE,49.27
3UVM_4GQ6,18.39
3UVM_4H39,115.49
3UVM_4IKN,64.43
3UVM_4J73,1400.37
3UVM_4J78,1435.78
3UVM_4J81,1452.94
3UVM_4JOE,2.37
3UVM_4K75,8.02
3UVM_4LN2,46.87
3UVM_4LNP,60.72
3UVM_4MDR,82.54
3UVM_4NXQ,32.81
3UVM_4O36,-3.18
3UVM_4WYU,23.93
3UVM_4X3H,-14.51
3UVM_4XHV,27.25
3UVM_4Y7R,3210.82
3UVM_4YSI,62.16
3UVM_4ZHL,69.25
3UVM_5A2J,94.28
3UVM_5CFA,81.45
3UVM_5E1D,15.88
3UVM_5E2Q,5.86
3UVM_5GP7,4.65
3UVM_5GU4,52.02
3UVM_5HEB,38.77
3UVM_5HEY,16.7
3UVM_5WOU,39.73
3UVM_5XHZ,50.4
3UVM_5YGF,29.65
3UVM_6CDG,21.66
3UVM_6EVN,-17.61
3UVM_6IM4,-139.39
4AIF_1CKA,-22.75
4AIF_1D4T,7.54
4AIF_1ELW,340.05
4AIF_1FCH,316.4
4AIF_1GWR,86.23
4AIF_1JD5,58.92
4AIF_1LB6,-47.91
4AIF_1MF4,66.86
4AIF_1MFG,-4.76
4AIF_1OAI,59.0
4AIF_1T7R,95.22
4AIF_1X2R,-104.68
4AIF_1YWO,-17.94
4AIF_2HO2,19.14
4AIF_2O9V,-24.67
4AIF_2OEI,22.09
4AIF_2PEH,22.3
4AIF_2PV1,38.71
4AIF_2QBW,7.39
4AIF_2WA8,48.79
4AIF_2XRW,96.76
4AIF_3ASL,-11.2
4AIF_3CH8,-14.88
4AIF_3D9T,44.74
4AIF_3DIW,2.6
4AIF_3DRF,47.9
4AIF_3DRG,48.06
4AIF_3EMH,-74.28
4AIF_3IQG,41.79
4AIF_3IVV,-46.3
4AIF_3L3X,72.2
4AIF_3OBQ,63.41
4AIF_3R42,51.82
4AIF_3RYB,49.51
4AIF_3SO6,21.74
4AIF_3SOU,-20.71
4AIF_3UPV,345.33
4AIF_3UVK,-67.88
4AIF_3UVM,-81.77
4AIF_4AIF,0.0
4AIF_4APO,1171.55
4AIF_4CC2,-37.49
4AIF_4CY1,-51.48
4AIF_4E3B,4.71
4AIF_4EQJ,-19.34
4AIF_4ERY,-66.28
4AIF_4EWR,-52.42
4AIF_4F14,-19.95
4AIF_4GNE,-8.81
4AIF_4GQ6,225.91
4AIF_4H39,71.54
4AIF_4IKN,-55.47
4AIF_4J73,-82.43
4AIF_4J78,-88.36
4AIF_4J81,-83.9
4AIF_4JOE,15.67
4AIF_4K75,9.8
4AIF_4LN2,-25.28
4AIF_4LNP,22.2
4AIF_4MDR,-47.54
4AIF_4NXQ,-27.17
4AIF_4O36,23.52
4AIF_4WYU,-47.64
4AIF_4X3H,54.27
4AIF_4XHV,-7.04
4AIF_4Y7R,-58.66
4AIF_4YSI,-14.21
4AIF_4ZHL,17.42
4AIF_5A2J,-63.94
4AIF_5CFA,-83.19
4AIF_5E1D,54.16
4AIF_5E2Q,107.82
4AIF_5GP7,77.69
4AIF_5GU4,29.72
4AIF_5HEB,-10.03
4AIF_5HEY,2.81
4AIF_5WOU,20.51
4AIF_5XHZ,-38.45
4AIF_5YGF,11.99
4AIF_6CDG,10.25
4AIF_6EVN,202.68
4AIF_6IM4,223.7
4APO_1CKA,-18.97
4APO_1D4T,10.24
4APO_1ELW,341.27
4APO_1FCH,316.5
4APO_1GWR,84.33
4APO_1JD5,49.22
4APO_1LB6,-42.02
4APO_1MF4,66.95
4APO_1MFG,15.78
4APO_1OAI,59.59
4APO_1T7R,71.07
4APO_1X2R,-99.57
4APO_1YWO,-41.27
4APO_2HO2,19.47
4APO_2O9V,-32.85
4APO_2OEI,19.72
4APO_2PEH,22.68
4APO_2PV1,36.7
4APO_2QBW,-23.41
4APO_2WA8,39.31
4APO_2XRW,71.23
4APO_3ASL,-6.65
4APO_3CH8,-20.0
4APO_3D9T,43.93
4APO_3DIW,-4.86
4APO_3DRF,28.87
4APO_3DRG,68.04
4APO_3EMH,-62.62
4APO_3IQG,49.75
4APO_3IVV,-44.89
4APO_3L3X,65.08
4APO_3OBQ,25.24
4APO_3R42,-25.22
4APO_3RYB,68.12
4APO_3SO6,36.51
4APO_3SOU,-12.65
4APO_3UPV,345.88
4APO_3UVK,-89.67
4APO_3UVM,-92.28
4APO_4AIF,1171.55
4APO_4APO,0.0
4APO_4CC2,7.21
4APO_4CY1,-59.49
4APO_4E3B,4.67
4APO_4EQJ,-13.49
4APO_4ERY,-79.8
4APO_4EWR,-73.72
4APO_4F14,-18.82
4APO_4GNE,-18.49
4APO_4GQ6,241.83
4APO_4H39,72.46
4APO_4IKN,-76.66
4APO_4J73,-50.56
4APO_4J78,-87.9
4APO_4J81,-53.22
4APO_4JOE,9.58
4APO_4K75,9.55
4APO_4LN2,-16.92
4APO_4LNP,-34.8
4APO_4MDR,-72.87
4APO_4NXQ,-24.95
4APO_4O36,22.2
4APO_4WYU,-2.76
4APO_4X3H,60.15
4APO_4XHV,-7.26
4APO_4Y7R,-65.39
4APO_4YSI,-7.21
4APO_4ZHL,17.09
4APO_5A2J,-73.72
4APO_5CFA,-89.9
4APO_5E1D,23.85
4APO_5E2Q,105.75
4APO_5GP7,77.52
4APO_5GU4,22.0
4APO_5HEB,6.21
4APO_5HEY,13.48
4APO_5WOU,29.59
4APO_5XHZ,14.6
4APO_5YGF,17.8
4APO_6CDG,-3.65
4APO_6EVN,200.07
4APO_6IM4,244.22
4CC2_1CKA,273.88
4CC2_1D4T,51.91
4CC2_1ELW,-3.46
4CC2_1FCH,0.2
4CC2_1GWR,10.28
4CC2_1JD5,27.12
4CC2_1LB6,32.95
4CC2_1MF4,42.32
4CC2_1MFG,46.69
4CC2_1OAI,-1.09
4CC2_1T7R,12.38
4CC2_1X2R,52.47
4CC2_1YWO,267.15
4CC2_2HO2,26.92
4CC2_2O9V,274.43
4CC2_2OEI,29.34
4CC2_2PEH,22.17
4CC2_2PV1,22.27
4CC2_2QBW,40.83
4CC2_2WA8,0.29
4CC2_2XRW,63.97
4CC2_3ASL,37.38
4CC2_3CH8,50.3
4CC2_3D9T,9.38
4CC2_3DIW,53.68
4CC2_3DRF,27.09
4CC2_3DRG,29.68
4CC2_3EMH,64.39
4CC2_3IQG,46.93
4CC2_3IVV,32.64
4CC2_3L3X,7.31
4CC2_3OBQ,28.39
4CC2_3R42,22.52
4CC2_3RYB,33.5
4CC2_3SO6,44.12
4CC2_3SOU,7.96
4CC2_3UPV,-27.67
4CC2_3UVK,69.78
4CC2_3UVM,62.19
4CC2_4AIF,2.67
4CC2_4APO,-24.37
4CC2_4CC2,0.0
4CC2_4CY1,65.55
4CC2_4E3B,39.96
4CC2_4EQJ,44.73
4CC2_4ERY,66.33
4CC2_4EWR,62.97
4CC2_4F14,268.42
4CC2_4GNE,21.61
4CC2_4GQ6,32.69
4CC2_4H39,66.45
4CC2_4IKN,27.69
4CC2_4J73,71.25
4CC2_4J78,65.61
4CC2_4J81,66.45
4CC2_4JOE,35.54
4CC2_4K75,33.02
4CC2_4LN2,266.56
4CC2_4LNP,273.71
4CC2_4MDR,21.24
4CC2_4NXQ,67.87
4CC2_4O36,0.04
4CC2_4WYU,41.91
4CC2_4X3H,17.29
4CC2_4XHV,65.54
4CC2_4Y7R,70.09
4CC2_4YSI,31.19
4CC2_4ZHL,66.69
4CC2_5A2J,24.97
4CC2_5CFA,43.14
4CC2_5E1D,16.69
4CC2_5E2Q,45.59
4CC2_5GP7,14.29
4CC2_5GU4,31.6
4CC2_5HEB,39.76
4CC2_5HEY,46.87
4CC2_5WOU,47.72
4CC2_5XHZ,287.33
4CC2_5YGF,106.18
4CC2_6CDG,35.75
4CC2_6EVN,5.3
4CC2_6IM4,9.85
4CY1_1CKA,63.79
4CY1_1D4T,50.5
4CY1_1ELW,-70.08
4CY1_1FCH,-185.36
4CY1_1GWR,-65.18
4CY1_1JD5,7.46
4CY1_1LB6,78.08
4CY1_1MF4,-6.86
4CY1_1MFG,24.85
4CY1_1OAI,18.11
4CY1_1T7R,-34.24
4CY1_1X2R,475.93
4CY1_1YWO,46.82
4CY1_2HO2,71.03
4CY1_2O9V,56.91
4CY1_2OEI,70.7
4CY1_2PEH,21.67
4CY1_2PV1,6.71
4CY1_2QBW,18.23
4CY1_2WA8,25.87
4CY1_2XRW,97.98
4CY1_3ASL,19.04
4CY1_3CH8,58.7
4CY1_3D9T,2.74
4CY1_3DIW,10.78
4CY1_3DRF,60.77
4CY1_3DRG,34.32
4CY1_3EMH,3118.57
4CY1_3IQG,30.61
4CY1_3IVV,70.85
4CY1_3L3X,-77.47
4CY1_3OBQ,24.96
4CY1_3R42,45.44
4CY1_3RYB,29.62
4CY1_3SO6,114.88
4CY1_3SOU,16.57
4CY1_3UPV,-54.91
4CY1_3UVK,3117.19
4CY1_3UVM,3171.24
4CY1_4AIF,-67.95
4CY1_4APO,-57.32
4CY1_4CC2,65.55
4CY1_4CY1,0.0
4CY1_4E3B,22.56
4CY1_4EQJ,57.27
4CY1_4ERY,3176.63
4CY1_4EWR,3156.83
4CY1_4F14,59.48
4CY1_4GNE,27.43
4CY1_4GQ6,28.16
4CY1_4H39,109.35
4CY1_4IKN,74.49
4CY1_4J73,1407.31
4CY1_4J78,1434.43
4CY1_4J81,1450.98
4CY1_4JOE,4.36
4CY1_4K75,29.16
4CY1_4LN2,50.01
4CY1_4LNP,54.46
4CY1_4MDR,66.4
4CY1_4NXQ,26.14
4CY1_4O36,1.2
4CY1_4WYU,41.99
4CY1_4X3H,22.43
4CY1_4XHV,15.36
4CY1_4Y7R,3200.97
4CY1_4YSI,47.14
4CY1_4ZHL,81.61
4CY1_5A2J,111.65
4CY1_5CFA,93.48
4CY1_5E1D,27.53
4CY1_5E2Q,17.4
4CY1_5GP7,-16.27
4CY1_5GU4,53.64
4CY1_5HEB,32.62
4CY1_5HEY,28.71
4CY1_5WOU,20.69
4CY1_5XHZ,49.83
4CY1_5YGF,2.71
4CY1_6CDG,16.62
4CY1_6EVN,-45.07
4CY1_6IM4,-145.38
4E3B_1CKA,39.7
4E3B_1D4T,44.33
4E3B_1ELW,9.72
4E3B_1FCH,-4.17
4E3B_1GWR,5.03
4E3B_1JD5,62.78
4E3B_1LB6,51.31
4E3B_1MF4,13.75
4E3B_1MFG,491.21
4E3B_1OAI,-11.04
4E3B_1T7R,-8.68
4E3B_1X2R,48.38
4E3B_1YWO,41.98
4E3B_2HO2,23.76
4E3B_2O9V,49.23
4E3B_2OEI,22.7
4E3B_2PEH,60.3
4E3B_2PV1,-13.82
4E3B_2QBW,485.76
4E3B_2WA8,46.81
4E3B_2XRW,72.45
4E3B_3ASL,15.72
4E3B_3CH8,458.37
4E3B_3D9T,54.25
4E3B_3DIW,956.11
4E3B_3DRF,73.61
4E3B_3DRG,43.47
4E3B_3EMH,10.34
4E3B_3IQG,19.94
4E3B_3IVV,69.01
4E3B_3L3X,-11.95
4E3B_3OBQ,45.62
4E3B_3R42,69.75
4E3B_3RYB,71.08
4E3B_3SO6,29.87
4E3B_3SOU,22.45
4E3B_3UPV,11.09
4E3B_3UVK,20.87
4E3B_3UVM,28.04
4E3B_4AIF,4.71
4E3B_4APO,4.67
4E3B_4CC2,39.96
4E3B_4CY1,22.56
4E3B_4E3B,0.0
4E3B_4EQJ,23.55
4E3B_4ERY,15.93
4E3B_4EWR,17.34
4E3B_4F14,50.06
4E3B_4GNE,12.96
4E3B_4GQ6,-9.77
4E3B_4H39,57.14
4E3B_4IKN,11.15
4E3B_4J73,3.07
4E3B_4J78,-11.72
4E3B_4J81,12.79
4E3B_4JOE,407.64
4E3B_4K75,401.72
4E3B_4LN2,51.05
4E3B_4LNP,53.98
4E3B_4MDR,81.39
4E3B_4NXQ,345.29
4E3B_4O36,24.88
4E3B_4WYU,483.72
4E3B_4X3H,-2.09
4E3B_4XHV,377.98
4E3B_4Y7R,10.88
4E3B_4YSI,65.69
4E3B_4ZHL,48.11
4E3B_5A2J,32.15
4E3B_5CFA,31.26
4E3B_5E1D,72.64
4E3B_5E2Q,21.56
4E3B_5GP7,12.58
4E3B_5GU4,27.84
4E3B_5HEB,464.93
4E3B_5HEY,457.75
4E3B_5WOU,530.24
4E3B_5XHZ,70.57
4E3B_5YGF,37.54
4E3B_6CDG,46.18
4E3B_6EVN,27.68
4E3B_6IM4,2.12
4EQJ_1CKA,26.78
4EQJ_1D4T,35.52
4EQJ_1ELW,1.16
4EQJ_1FCH,-131.42
4EQJ_1GWR,-27.7
4EQJ_1JD5,-33.94
4EQJ_1LB6,36.14
4EQJ_1MF4,20.65
4EQJ_1MFG,57.17
4EQJ_1OAI,19.78
4EQJ_1T7R,-15.05
4EQJ_1X2R,72.38
4EQJ_1YWO,42.84
4EQJ_2HO2,45.42
4EQJ_2O9V,54.32
4EQJ_2OEI,32.97
4EQJ_2PEH,20.03
4EQJ_2PV1,25.18
4EQJ_2QBW,80.23
4EQJ_2WA8,53.57
4EQJ_2XRW,60.28
4EQJ_3ASL,33.18
4EQJ_3CH8,81.07
4EQJ_3D9T,-1.57
4EQJ_3DIW,52.45
4EQJ_3DRF,-21.6
4EQJ_3DRG,68.39
4EQJ_3EMH,49.09
4EQJ_3IQG,-32.13
4EQJ_3IVV,54.56
4EQJ_3L3X,-3.98
4EQJ_3OBQ,82.74
4EQJ_3R42,57.12
4EQJ_3RYB,-20.15
4EQJ_3SO6,6.32
4EQJ_3SOU,20.07
4EQJ_3UPV,-15.69
4EQJ_3UVK,44.01
4EQJ_3UVM,59.73
4EQJ_4AIF,-76.04
4EQJ_4APO,-44.75
4EQJ_4CC2,49.17
4EQJ_4CY1,52.86
4EQJ_4E3B,23.55
4EQJ_4EQJ,0.0
4EQJ_4ERY,54.86
4EQJ_4EWR,46.52
4EQJ_4F14,28.76
4EQJ_4GNE,12.7
4EQJ_4GQ6,32.83
4EQJ_4H39,64.9
4EQJ_4IKN,78.85
4EQJ_4J73,47.43
4EQJ_4J78,51.79
4EQJ_4J81,55.7
4EQJ_4JOE,23.99
4EQJ_4K75,17.88
4EQJ_4LN2,46.2
4EQJ_4LNP,50.3
4EQJ_4MDR,39.61
4EQJ_4NXQ,32.78
4EQJ_4O36,10.31
4EQJ_4WYU,84.61
4EQJ_4X3H,6.48
4EQJ_4XHV,68.63
4EQJ_4Y7R,63.35
4EQJ_4YSI,75.89
4EQJ_4ZHL,46.78
4EQJ_5A2J,23.01
4EQJ_5CFA,87.16
4EQJ_5E1D,-4.48
4EQJ_5E2Q,51.71
4EQJ_5GP7,-28.18
4EQJ_5GU4,-37.7
4EQJ_5HEB,59.01
4EQJ_5HEY,58.29
4EQJ_5WOU,46.18
4EQJ_5XHZ,36.61
4EQJ_5YGF,53.49
4EQJ_6CDG,45.58
4EQJ_6EVN,-1.39
4EQJ_6IM4,-85.5
4ERY_1CKA,63.69
4ERY_1D4T,11.25
4ERY_1ELW,-54.67
4ERY_1FCH,-176.37
4ERY_1GWR,-89.37
4ERY_1JD5,16.37
4ERY_1LB6,77.54
4ERY_1MF4,14.83
4ERY_1MFG,14.23
4ERY_1OAI,12.25
4ERY_1T7R,-69.92
4ERY_1X2R,476.69
4ERY_1YWO,52.32
4ERY_2HO2,63.13
4ERY_2O9V,56.87
4ERY_2OEI,69.68
4ERY_2PEH,56.63
4ERY_2PV1,3.86
4ERY_2QBW,17.36
4ERY_2WA8,27.48
4ERY_2XRW,71.2
4ERY_3ASL,27.37
4ERY_3CH8,79.4
4ERY_3D9T,-25.18
4ERY_3DIW,24.94
4ERY_3DRF,36.69
4ERY_3DRG,27.31
4ERY_3EMH,3132.33
4ERY_3IQG,24.07
4ERY_3IVV,76.69
4ERY_3L3X,-36.2
4ERY_3OBQ,39.89
4ERY_3R42,61.68
4ERY_3RYB,47.0
4ERY_3SO6,116.22
4ERY_3SOU,11.8
4ERY_3UPV,-47.29
4ERY_3UVK,3125.97
4ERY_3UVM,3206.56
4ERY_4AIF,-56.61
4ERY_4APO,-76.23
4ERY_4CC2,66.33
4ERY_4CY1,3176.63
4ERY_4E3B,-18.77
4ERY_4EQJ,54.86
4ERY_4ERY,0.0
4ERY_4EWR,3171.58
4ERY_4F14,52.5
4ERY_4GNE,11.24
4ERY_4GQ6,10.89
4ERY_4H39,93.91
4ERY_4IKN,68.91
4ERY_4J73,1406.36
4ERY_4J78,1431.92
4ERY_4J81,1453.65
4ERY_4JOE,8.92
4ERY_4K75,12.02
4ERY_4LN2,49.77
4ERY_4LNP,68.9
4ERY_4MDR,64.45
4ERY_4NXQ,32.51
4ERY_4O36,1.25
4ERY_4WYU,19.64
4ERY_4X3H,-9.04
4ERY_4XHV,37.85
4ERY_4Y7R,3209.01
4ERY_4YSI,61.96
4ERY_4ZHL,87.2
4ERY_5A2J,75.13
4ERY_5CFA,68.38
4ERY_5E1D,44.05
4ERY_5E2Q,-16.07
4ERY_5GP7,-62.41
4ERY_5GU4,36.16
4ERY_5HEB,32.28
4ERY_5HEY,15.96
4ERY_5WOU,33.78
4ERY_5XHZ,48.91
4ERY_5YGF,39.5
4ERY_6CDG,53.51
4ERY_6EVN,-31.7
4ERY_6IM4,-137.58
4EWR_1CKA,63.05
4EWR_1D4T,66.18
4EWR_1ELW,-66.16
4EWR_1FCH,-193.98
4EWR_1GWR,-5.59
4EWR_1JD5,16.35
4EWR_1LB6,86.47
4EWR_1MF4,-35.33
4EWR_1MFG,14.28
4EWR_1OAI,8.24
4EWR_1T7R,-46.66
4EWR_1X2R,505.9
4EWR_1YWO,42.8
4EWR_2HO2,68.79
4EWR_2O9V,56.45
4EWR_2OEI,77.14
4EWR_2PEH,22.7
4EWR_2PV1,4.25
4EWR_2QBW,74.22
4EWR_2WA8,28.07
4EWR_2XRW,61.78
4EWR_3ASL,8.66
4EWR_3CH8,46.17
4EWR_3D9T,-13.63
4EWR_3DIW,26.11
4EWR_3DRF,90.11
4EWR_3DRG,67.44
4EWR_3EMH,3181.2
4EWR_3IQG,28.19
4EWR_3IVV,93.22
4EWR_3L3X,-44.33
4EWR_3OBQ,30.33
4EWR_3R42,-5.04
4EWR_3RYB,57.58
4EWR_3SO6,111.73
4EWR_3SOU,15.76
4EWR_3UPV,-69.91
4EWR_3UVK,3106.66
4EWR_3UVM,3212.53
4EWR_4AIF,-36.29
4EWR_4APO,-79.44
4EWR_4CC2,62.97
4EWR_4CY1,3156.83
4EWR_4E3B,45.71
4EWR_4EQJ,35.64
4EWR_4ERY,3171.58
4EWR_4EWR,0.0
4EWR_4F14,49.95
4EWR_4GNE,22.36
4EWR_4GQ6,-2.36
4EWR_4H39,83.71
4EWR_4IKN,68.78
4EWR_4J73,1393.48
4EWR_4J78,1443.27
4EWR_4J81,1441.25
4EWR_4JOE,6.55
4EWR_4K75,8.88
4EWR_4LN2,46.96
4EWR_4LNP,59.65
4EWR_4MDR,89.56
4EWR_4NXQ,41.18
4EWR_4O36,3.84
4EWR_4WYU,22.13
4EWR_4X3H,-13.59
4EWR_4XHV,17.73
4EWR_4Y7R,3193.55
4EWR_4YSI,66.94
4EWR_4ZHL,33.8
4EWR_5A2J,85.94
4EWR_5CFA,91.07
4EWR_5E1D,23.82
4EWR_5E2Q,-21.45
4EWR_5GP7,-32.17
4EWR_5GU4,24.76
4EWR_5HEB,37.47
4EWR_5HEY,15.17
4EWR_5WOU,13.39
4EWR_5XHZ,53.72
4EWR_5YGF,39.07
4EWR_6CDG,63.33
4EWR_6EVN,-1.99
4EWR_6IM4,-95.32
4F14_1CKA,278.09
4F14_1D4T,36.82
4F14_1ELW,-25.73
4F14_1FCH,22.29
4F14_1GWR,38.47
4F14_1JD5,25.07
4F14_1LB6,21.99
4F14_1MF4,7.39
4F14_1MFG,44.01
4F14_1OAI,8.36
4F14_1T7R,26.29
4F14_1X2R,37.82
4F14_1YWO,315.91
4F14_2HO2,55.95
4F14_2O9V,292.74
4F14_2OEI,51.92
4F14_2PEH,-6.22
4F14_2PV1,43.4
4F14_2QBW,49.74
4F14_2WA8,-10.45
4F14_2XRW,63.48
4F14_3ASL,19.63
4F14_3CH8,33.39
4F14_3D9T,18.42
4F14_3DIW,52.93
4F14_3DRF,12.67
4F14_3DRG,11.19
4F14_3EMH,48.53
4F14_3IQG,28.75
4F14_3IVV,43.98
4F14_3L3X,24.57
4F14_3OBQ,13.0
4F14_3R42,19.05
4F14_3RYB,10.48
4F14_3SO6,26.41
4F14_3SOU,26.07
4F14_3UPV,-29.4
4F14_3UVK,59.07
4F14_3UVM,48.19
4F14_4AIF,-19.13
4F14_4APO,8.7
4F14_4CC2,268.42
4F14_4CY1,59.48
4F14_4E3B,43.5
4F14_4EQJ,17.93
4F14_4ERY,52.5
4F14_4EWR,55.22
4F14_4F14,0.0
4F14_4GNE,11.84
4F14_4GQ6,28.03
4F14_4H39,82.4
4F14_4IKN,51.79
4F14_4J73,62.7
4F14_4J78,63.57
4F14_4J81,60.63
4F14_4JOE,48.59
4F14_4K75,52.24
4F14_4LN2,286.93
4F14_4LNP,286.66
4F14_4MDR,50.65
4F14_4NXQ,65.24
4F14_4O36,-2.76
4F14_4WYU,50.26
4F14_4X3H,18.79
4F14_4XHV,53.52
4F14_4Y7R,58.52
4F14_4YSI,14.3
4F14_4ZHL,44.85
4F14_5A2J,22.61
4F14_5CFA,28.89
4F14_5E1D,19.43
4F14_5E2Q,28.59
4F14_5GP7,-0.16
4F14_5GU4,25.68
4F14_5HEB,57.06
4F14_5HEY,57.85
4F14_5WOU,51.46
4F14_5XHZ,279.89
4F14_5YGF,76.0
4F14_6CDG,37.4
4F14_6EVN,-15.56
4F14_6IM4,-1.76
4GNE_1CKA,25.59
4GNE_1D4T,20.09
4GNE_1ELW,-47.35
4GNE_1FCH,-14.69
4GNE_1GWR,-4.34
4GNE_1JD5,39.12
4GNE_1LB6,32.47
4GNE_1MF4,2.55
4GNE_1MFG,27.3
4GNE_1OAI,-1.07
4GNE_1T7R,-8.71
4GNE_1X2R,33.91
4GNE_1YWO,38.05
4GNE_2HO2,12.25
4GNE_2O9V,22.81
4GNE_2OEI,26.97
4GNE_2PEH,15.66
4GNE_2PV1,4.41
4GNE_2QBW,19.05
4GNE_2WA8,30.25
4GNE_2XRW,19.07
